uuid;style;artist;title_music;lastfm_music_url;lastfm_artist_url;videoID_youtube;chroma_stft;mfcc;spec_cent;spec_bw;zcr;spec_rolloff
199cc1f1;country;Taylor Swift;You Belong with Me;https://www.last.fm/music/taylor%2bswift;https://www.last.fm/music/taylor%2bswift/_/you%2bbelong%2bwith%2bme;VuNIsY6JdUw;0.3654879855392586;-3.3981557929848543;2705.554643330048;2663.099055511579;0.13153441477301595;5720.251319713921
ef775465;country;Creedence Clearwater Revival;Lookin' Out My Back Door;https://www.last.fm/music/creedence%2bclearwater%2brevival;https://www.last.fm/music/creedence%2bclearwater%2brevival/_/lookin%2527%2bout%2bmy%2bback%2bdoor;Aae_RHRptRg;0.3951968946056968;-0.7821303402218512;2168.213820052535;2333.903529265881;0.09419473775716458;4697.085931871397
88e4ef59;country;Bob Dylan;Lay Lady Lay;https://www.last.fm/music/bob%2bdylan;https://www.last.fm/music/bob%2bdylan/_/lay%2blady%2blay;Go2jbER0wk0;0.3216787440580747;-0.032050957754939706;1594.2399400198349;2207.16472678393;0.04978342940782007;3702.245844395601
85c3cd6b;country;Dolly Parton;Jolene;https://www.last.fm/music/dolly%2bparton;https://www.last.fm/music/dolly%2bparton/_/jolene;Ixrje2rXLMA;0.30692445028774923;-1.1243226955847938;1875.115477906621;2307.7102723526864;0.07498422208629893;4040.2327555048932
df7d2f3f;country;Eagles;Take It Easy;https://www.last.fm/music/eagles;https://www.last.fm/music/eagles/_/take%2bit%2beasy;LfeNhwnO8hw;0.3580459419391565;1.4350842655264604;2157.605113755025;2450.887394769082;0.09409412100378373;4697.0131785599215
9ecc790b;country;Miley Cyrus;The Climb;https://www.last.fm/music/miley%2bcyrus;https://www.last.fm/music/miley%2bcyrus/_/the%2bclimb;NG2zyeVRcbs;0.3073071330877973;-1.181990170905861;2247.333818618877;2332.353849143218;0.10459131375864524;4633.92034519776
02d3c65b;country;Avicii;Hey Brother;https://www.last.fm/music/avicii;https://www.last.fm/music/avicii/_/hey%2bbrother;YxIiPLVR6NA;0.3665979188527072;3.515901089816201;2528.901245457264;2463.052267571655;0.12236001172471052;5321.061107340005
56766361;country;Taylor Swift;We Are Never Ever Getting Back Together;https://www.last.fm/music/taylor%2bswift;https://www.last.fm/music/taylor%2bswift/_/we%2bare%2bnever%2bever%2bgetting%2bback%2btogether;WA4iX5D9Z64;0.3760975315644899;-3.1006957840132032;2741.447713065665;2591.229960906046;0.1257197662396271;5779.014870082141
1fda8253;country;Johnny Cash;Personal Jesus;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/personal%2bjesus;qpYW3qng78E;0.3559284740547136;1.8160608486275744;1521.9286208747653;1873.2129465493094;0.05852490070313405;3179.4681298471714
e57cba3f;country;Wilco;Jesus, Etc.;https://www.last.fm/music/wilco;https://www.last.fm/music/wilco/_/jesus%252c%2betc.;efq95Pfqt5U;0.3566521897528089;0.11185578440851596;1464.661969607737;2038.67333786936;0.05427272345430108;2933.74366426741
24907ab3;country;Johnny Cash;The Man Comes Around;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/the%2bman%2bcomes%2baround;k9IfHDi-2EA;0.3739092855192844;1.5942431669822317;2002.9804363088447;2226.3591178645383;0.08424176751696243;4178.816264556694
f7c80219;country;Eagles;Desperado;https://www.last.fm/music/eagles;https://www.last.fm/music/eagles/_/desperado;iDNtqy0zjJA;0.2807165225595256;-7.243290048054191;1284.593766381304;1670.8249703767733;0.055079528683264885;2433.169338977055
d047acce;country;The Beatles;Don't Pass Me By;https://www.last.fm/music/the%2bbeatles;https://www.last.fm/music/the%2bbeatles/_/don%2527t%2bpass%2bme%2bby;PTKEiQHHsuk;0.3526648233699373;-2.3693040718644163;2289.0690615061467;2231.676519675057;0.1180042694116388;4359.828374157213
